,Year,Average (Monthly) Number Unemployed,county,state
727,2011,739.6666667,Lawrence County,AR
728,2012,659.25,Lawrence County,AR
729,2013,634.25,Lawrence County,AR
730,2014,512,Lawrence County,AR
731,2015,423.0833333,Lawrence County,AR
732,2010,1080.333333,Ouachita County,AR
733,2011,1165.5,Ouachita County,AR
734,2012,1102.916667,Ouachita County,AR
735,2013,991.5,Ouachita County,AR
736,2014,793.5,Ouachita County,AR
737,2015,625.9166667,Ouachita County,AR
738,2010,904.25,Phillips County,AR
739,2011,1025.583333,Phillips County,AR
740,2012,921.75,Phillips County,AR
741,2013,863.0833333,Phillips County,AR
742,2014,692.6666667,Phillips County,AR
743,2015,529.1666667,Phillips County,AR
744,2010,1001.333333,Poinsett County,AR
745,2011,1033.5,Poinsett County,AR
746,2012,900.75,Poinsett County,AR
747,2013,857.8333333,Poinsett County,AR
748,2014,698.8333333,Poinsett County,AR
749,2015,562,Poinsett County,AR
750,2010,744,Randolph County,AR
751,2011,811.3333333,Randolph County,AR
752,2012,743.3333333,Randolph County,AR
753,2013,636.8333333,Randolph County,AR
754,2014,517.25,Randolph County,AR
755,2015,441.5833333,Randolph County,AR
756,2010,378.75,Woodruff County,AR
757,2011,391.6666667,Woodruff County,AR
758,2012,344.75,Woodruff County,AR
759,2013,307.1666667,Woodruff County,AR
760,2014,240.25,Woodruff County,AR
761,2015,193.5833333,Woodruff County,AR
762,2010,326.4166667,Cleveland County,AR
763,2011,330.9166667,Cleveland County,AR
764,2012,275.9166667,Cleveland County,AR
765,2013,271.8333333,Cleveland County,AR
766,2014,234.75,Cleveland County,AR
767,2015,189.4166667,Cleveland County,AR
768,2010,3546.5,Craighead County,AR
769,2011,3633.666667,Craighead County,AR
770,2012,3370.916667,Craighead County,AR
771,2013,3228.916667,Craighead County,AR
772,2014,2687.666667,Craighead County,AR
773,2015,2253.833333,Craighead County,AR
774,2010,988.75,Hempstead County,AR
775,2011,974.8333333,Hempstead County,AR
776,2012,791.4166667,Hempstead County,AR
777,2013,731.0833333,Hempstead County,AR
778,2014,592.3333333,Hempstead County,AR
779,2015,486.8333333,Hempstead County,AR
780,2010,3535.333333,Jefferson County,AR
781,2011,3748.5,Jefferson County,AR
782,2012,3246.916667,Jefferson County,AR
783,2013,3196.833333,Jefferson County,AR
784,2014,2574.25,Jefferson County,AR
785,2015,2025.166667,Jefferson County,AR
786,2010,300,Lafayette County,AR
787,2011,290.5833333,Lafayette County,AR
788,2012,274,Lafayette County,AR
789,2013,263.8333333,Lafayette County,AR
790,2014,207.5833333,Lafayette County,AR
791,2015,199.0833333,Lafayette County,AR
792,2010,4782.666667,Sebastian County,AR
793,2011,5157.833333,Sebastian County,AR
794,2012,4633.416667,Sebastian County,AR
795,2013,4328.666667,Sebastian County,AR
796,2014,3242.5,Sebastian County,AR
797,2015,2769.583333,Sebastian County,AR
798,2010,724.0833333,Van Buren County,AR
799,2011,746.0833333,Van Buren County,AR
800,2012,669.25,Van Buren County,AR
801,2013,628.6666667,Van Buren County,AR
802,2014,521.1666667,Van Buren County,AR
803,2015,430.5,Van Buren County,AR
804,2010,2386.25,Crittenden County,AR
805,2011,2484.5,Crittenden County,AR
806,2012,2115.666667,Crittenden County,AR
807,2013,1804.416667,Crittenden County,AR
808,2014,1579.75,Crittenden County,AR
809,2015,1322.166667,Crittenden County,AR
810,2010,1218.833333,Hot Spring County,AR
811,2011,1207.333333,Hot Spring County,AR
812,2012,1043.833333,Hot Spring County,AR
813,2013,1027.166667,Hot Spring County,AR
814,2014,807.25,Hot Spring County,AR
815,2015,712.9166667,Hot Spring County,AR
816,2010,342.1666667,Montgomery County,AR
817,2011,355.75,Montgomery County,AR
818,2012,304.4166667,Montgomery County,AR
819,2013,287.3333333,Montgomery County,AR
820,2014,266.5,Montgomery County,AR
821,2015,219.1666667,Montgomery County,AR
822,2010,6702.916667,Washington County,AR
823,2011,6606.666667,Washington County,AR
824,2012,5919.25,Washington County,AR
825,2013,5713.916667,Washington County,AR
826,2014,4801.916667,Washington County,AR
827,2015,4061.083333,Washington County,AR
828,2010,2527.75,Mississippi County,AR
829,2011,2529.75,Mississippi County,AR
830,2012,2220.5,Mississippi County,AR
831,2013,2147.916667,Mississippi County,AR
832,2014,1754.5,Mississippi County,AR
833,2015,1650.333333,Mississippi County,AR
834,2010,1046,St. Francis County,AR
835,2011,1095.25,St. Francis County,AR
836,2012,1026.583333,St. Francis County,AR
837,2013,953,St. Francis County,AR
838,2014,779.5,St. Francis County,AR
839,2015,645.5833333,St. Francis County,AR
840,2010,1500.25,Independence County,AR
841,2011,1561.833333,Independence County,AR
842,2012,1477.916667,Independence County,AR
843,2013,1423.083333,Independence County,AR
844,2014,1204,Independence County,AR
845,2015,1010.666667,Independence County,AR
846,2010,482.4166667,Little River County,AR
847,2011,480.5,Little River County,AR
848,2012,435.6666667,Little River County,AR
849,2013,432.6666667,Little River County,AR
850,2014,362.25,Little River County,AR
851,2015,304.75,Little River County,AR
852,2010,2709,Gila County,AZ
853,2011,2446.333333,Gila County,AZ
854,2012,2137.083333,Gila County,AZ
855,2013,2010.916667,Gila County,AZ
856,2014,1770.25,Gila County,AZ
857,2015,1663.25,Gila County,AZ
858,2010,44637.41667,Pima County,AZ
859,2011,39572.58333,Pima County,AZ
860,2012,34100.16667,Pima County,AZ
861,2013,30874.08333,Pima County,AZ
862,2014,27786.75,Pima County,AZ
863,2015,25312.75,Pima County,AZ
864,2010,23315.75,Yuma County,AZ
865,2011,22257.66667,Yuma County,AZ
866,2012,22377.08333,Yuma County,AZ
867,2013,24162,Yuma County,AZ
868,2014,21263.91667,Yuma County,AZ
869,2015,20184.33333,Yuma County,AZ
870,2010,16464.66667,Pinal County,AZ
871,2011,14615.16667,Pinal County,AZ
872,2012,12694.33333,Pinal County,AZ
873,2013,11950.91667,Pinal County,AZ
874,2014,10692.66667,Pinal County,AZ
875,2015,9797.75,Pinal County,AZ
876,2010,3848.75,Apache County,AZ
877,2011,4251.916667,Apache County,AZ
878,2012,4323.583333,Apache County,AZ
879,2013,4016.416667,Apache County,AZ
880,2014,3306.083333,Apache County,AZ
881,2015,2722.166667,Apache County,AZ
882,2010,1883.333333,Graham County,AZ
883,2011,1429.333333,Graham County,AZ
884,2012,1229.916667,Graham County,AZ
885,2013,1102.5,Graham County,AZ
886,2014,1067,Graham County,AZ
887,2015,1058.916667,Graham County,AZ
888,2010,804.5833333,La Paz County,AZ
889,2011,770.25,La Paz County,AZ
890,2012,696.25,La Paz County,AZ
891,2013,655.8333333,La Paz County,AZ
892,2014,599.75,La Paz County,AZ
893,2015,604.75,La Paz County,AZ
894,2010,10727.41667,Mohave County,AZ
895,2011,9770.833333,Mohave County,AZ
896,2012,8548.5,Mohave County,AZ
897,2013,7949.666667,Mohave County,AZ
898,2014,6795.583333,Mohave County,AZ
899,2015,6275,Mohave County,AZ
900,2010,6452.5,Navajo County,AZ
901,2011,6429.5,Navajo County,AZ
902,2012,6067.25,Navajo County,AZ
903,2013,5642.083333,Navajo County,AZ
904,2014,4589.5,Navajo County,AZ
905,2015,3907.583333,Navajo County,AZ
906,2010,5329.25,Cochise County,AZ
907,2011,5328,Cochise County,AZ
908,2012,4870.666667,Cochise County,AZ
909,2013,4720.5,Cochise County,AZ
910,2014,4264.166667,Cochise County,AZ
911,2015,3639.833333,Cochise County,AZ
912,2010,10309.25,Yavapai County,AZ
913,2011,9178.833333,Yavapai County,AZ
914,2012,7942.25,Yavapai County,AZ
915,2013,7086.5,Yavapai County,AZ
916,2014,5957.916667,Yavapai County,AZ
917,2015,5360,Yavapai County,AZ
918,2010,7195.583333,Coconino County,AZ
919,2011,6836,Coconino County,AZ
920,2012,6109.75,Coconino County,AZ
921,2013,5767.083333,Coconino County,AZ
922,2014,5094.333333,Coconino County,AZ
923,2015,4733.25,Coconino County,AZ
924,2010,563.8333333,Greenlee County,AZ
925,2011,370.4166667,Greenlee County,AZ
926,2012,292.1666667,Greenlee County,AZ
927,2013,268.5833333,Greenlee County,AZ
928,2014,304.75,Greenlee County,AZ
929,2015,318.3333333,Greenlee County,AZ
930,2010,182825.6667,Maricopa County,AZ
931,2011,162123.25,Maricopa County,AZ
932,2012,138033.4167,Maricopa County,AZ
933,2013,125433.9167,Maricopa County,AZ
934,2014,113228.5,Maricopa County,AZ
935,2015,102953.75,Maricopa County,AZ
936,2010,3184.416667,Santa Cruz County,AZ
937,2011,3166.916667,Santa Cruz County,AZ
938,2012,3106.583333,Santa Cruz County,AZ
939,2013,3087.5,Santa Cruz County,AZ
940,2014,2609.416667,Santa Cruz County,AZ
941,2015,2263.166667,Santa Cruz County,AZ
942,2010,947,Inyo County,CA
943,2011,940.5833333,Inyo County,CA
944,2012,866.9166667,Inyo County,CA
945,2013,735.75,Inyo County,CA
946,2014,629.5833333,Inyo County,CA
947,2015,527.1666667,Inyo County,CA
948,2010,58154.25,Kern County,CA
949,2011,56654.5,Kern County,CA
950,2012,51533.25,Kern County,CA
951,2013,46226.5,Kern County,CA
952,2014,40955.16667,Kern County,CA
953,2015,39929.08333,Kern County,CA
954,2010,4503.5,Lake County,CA
955,2011,4301.333333,Lake County,CA
956,2012,3770.833333,Lake County,CA
957,2013,3190.75,Lake County,CA
958,2014,2624.75,Lake County,CA
959,2015,2207.5,Lake County,CA
960,2010,906.3333333,Mono County,CA
961,2011,887.6666667,Mono County,CA
962,2012,868.75,Mono County,CA
963,2013,713.25,Mono County,CA
964,2014,582.0833333,Mono County,CA
965,2015,505.0833333,Mono County,CA
966,2010,7226.916667,Napa County,CA
967,2011,6914.166667,Napa County,CA
968,2012,6061.25,Napa County,CA
969,2013,5043.083333,Napa County,CA
970,2014,4174.5,Napa County,CA
971,2015,3413.833333,Napa County,CA
972,2010,12353.66667,Yolo County,CA
973,2011,11988.16667,Yolo County,CA
974,2012,10921.25,Yolo County,CA
975,2013,9175.083333,Yolo County,CA
976,2014,7711,Yolo County,CA
977,2015,6743.166667,Yolo County,CA
978,2010,5162.25,Yuba County,CA
979,2011,4912.583333,Yuba County,CA
980,2012,4436.75,Yuba County,CA
981,2013,3718.833333,Yuba County,CA
982,2014,3133.166667,Yuba County,CA
983,2015,2580.333333,Yuba County,CA
984,2010,14245.83333,Butte County,CA
985,2011,13755.58333,Butte County,CA
986,2012,12271.83333,Butte County,CA
987,2013,10484.66667,Butte County,CA
988,2014,8774.583333,Butte County,CA
989,2015,7263.166667,Butte County,CA
990,2010,2037.666667,Glenn County,CA
991,2011,2043,Glenn County,CA
992,2012,1865.416667,Glenn County,CA
993,2013,1572.083333,Glenn County,CA
994,2014,1367.583333,Glenn County,CA
995,2015,1132.166667,Glenn County,CA
996,2010,9583.25,Kings County,CA
997,2011,9405.166667,Kings County,CA
998,2012,8758.416667,Kings County,CA
999,2013,7810.75,Kings County,CA
1000,2014,6860.833333,Kings County,CA
1001,2015,6076.333333,Kings County,CA
1002,2010,10442.33333,Marin County,CA
1003,2011,9775.166667,Marin County,CA
1004,2012,8601.083333,Marin County,CA
1005,2013,7151.083333,Marin County,CA
1006,2014,5935.916667,Marin County,CA
1007,2015,4939.75,Marin County,CA
1008,2010,580.75,Modoc County,CA
1009,2011,578.4166667,Modoc County,CA
1010,2012,519.75,Modoc County,CA
1011,2013,429.5,Modoc County,CA
1012,2014,345.9166667,Modoc County,CA
1013,2015,283.0833333,Modoc County,CA
1014,2010,69.5,Alpine County,CA
1015,2011,75.83333333,Alpine County,CA
1016,2012,61.25,Alpine County,CA
1017,2013,50.91666667,Alpine County,CA
1018,2014,41.75,Alpine County,CA
1019,2015,40.16666667,Alpine County,CA
1020,2010,2181.166667,Amador County,CA
1021,2011,2055.166667,Amador County,CA
1022,2012,1798.666667,Amador County,CA
1023,2013,1489.583333,Amador County,CA
1024,2014,1194.083333,Amador County,CA
1025,2015,947,Amador County,CA
1026,2010,2400.833333,Colusa County,CA
1027,2011,2417.166667,Colusa County,CA
1028,2012,2337,Colusa County,CA
1029,2013,2135.666667,Colusa County,CA
1030,2014,1932.333333,Colusa County,CA
1031,2015,1702.75,Colusa County,CA
1032,2010,73372.16667,Fresno County,CA
1033,2011,73285.33333,Fresno County,CA
1034,2012,66573.91667,Fresno County,CA
1035,2013,58058.33333,Fresno County,CA
1036,2014,50864.91667,Fresno County,CA
1037,2015,44954.25,Fresno County,CA
1038,2010,1698.583333,Lassen County,CA
1039,2011,1594.916667,Lassen County,CA
1040,2012,1428.75,Lassen County,CA
1041,2013,1167,Lassen County,CA
1042,2014,987,Lassen County,CA
1043,2015,779.25,Lassen County,CA
1044,2010,10240.91667,Madera County,CA
1045,2011,10024.08333,Madera County,CA
1046,2012,9034.5,Madera County,CA
1047,2013,7834.75,Madera County,CA
1048,2014,6939.916667,Madera County,CA
1049,2015,6301.5,Madera County,CA
1050,2010,20387.66667,Merced County,CA
1051,2011,20234.58333,Merced County,CA
1052,2012,18779.66667,Merced County,CA
1053,2013,16619.33333,Merced County,CA
1054,2014,14702.08333,Merced County,CA
1055,2015,12978.33333,Merced County,CA
1056,2010,5736.666667,Nevada County,CA
1057,2011,5430.666667,Nevada County,CA
1058,2012,4713.583333,Nevada County,CA
1059,2013,3902.166667,Nevada County,CA
1060,2014,3141.25,Nevada County,CA
1061,2015,2607.833333,Nevada County,CA
1062,2010,149748.8333,Orange County,CA
1063,2011,139977.8333,Orange County,CA
1064,2012,122865.5,Orange County,CA
1065,2013,103063.6667,Orange County,CA
1066,2014,86270.16667,Orange County,CA
1067,2015,70944.16667,Orange County,CA
1068,2010,20101.75,Placer County,CA
1069,2011,18820.75,Placer County,CA
1070,2012,16373.83333,Placer County,CA
1071,2013,13569.25,Placer County,CA
1072,2014,11017.08333,Placer County,CA
1073,2015,8932.166667,Placer County,CA
1074,2010,1667.583333,Plumas County,CA
1075,2011,1564,Plumas County,CA
1076,2012,1370.333333,Plumas County,CA
1077,2013,1142.083333,Plumas County,CA
1078,2014,936.4166667,Plumas County,CA
1079,2015,812.0833333,Plumas County,CA
1080,2010,13169.33333,Shasta County,CA
1081,2011,12281.66667,Shasta County,CA
1082,2012,10780.25,Shasta County,CA
1083,2013,8900.416667,Shasta County,CA
1084,2014,7216.75,Shasta County,CA
1085,2015,5774.083333,Shasta County,CA
1086,2010,246.5,Sierra County,CA
1087,2011,238.3333333,Sierra County,CA
1088,2012,210.8333333,Sierra County,CA
1089,2013,185.25,Sierra County,CA
1090,2014,142.75,Sierra County,CA
1091,2015,119,Sierra County,CA
1092,2010,25438.33333,Solano County,CA
1093,2011,24621.83333,Solano County,CA
1094,2012,21676.83333,Solano County,CA
1095,2013,18424.83333,Solano County,CA
1096,2014,15294,Solano County,CA
1097,2015,12588.83333,Solano County,CA
1098,2010,26533.91667,Sonoma County,CA
1099,2011,25212.83333,Sonoma County,CA
1100,2012,21819.16667,Sonoma County,CA
1101,2013,17764.58333,Sonoma County,CA
1102,2014,14403.41667,Sonoma County,CA
1103,2015,11588.5,Sonoma County,CA
1104,2010,8436.666667,Sutter County,CA
1105,2011,8342.666667,Sutter County,CA
1106,2012,7656.25,Sutter County,CA
1107,2013,6549,Sutter County,CA
1108,2014,5612.583333,Sutter County,CA
1109,2015,4789.833333,Sutter County,CA
1110,2010,3959.916667,Tehama County,CA
1111,2011,3829.583333,Tehama County,CA
1112,2012,3467.666667,Tehama County,CA
1113,2013,2914.75,Tehama County,CA
1114,2014,2417.75,Tehama County,CA
1115,2015,1982.416667,Tehama County,CA
1116,2010,34910.5,Tulare County,CA
1117,2011,34787.25,Tulare County,CA
1118,2012,32523.25,Tulare County,CA
1119,2013,28882.16667,Tulare County,CA
1120,2014,26085.41667,Tulare County,CA
1121,2015,23542.16667,Tulare County,CA
1122,2010,85409.66667,Alameda County,CA
1123,2011,79374.91667,Alameda County,CA
1124,2012,69367.33333,Alameda County,CA
1125,2013,58048.66667,Alameda County,CA
1126,2014,47104.66667,Alameda County,CA
1127,2015,38912.91667,Alameda County,CA
1128,2010,921.5833333,Trinity County,CA
1129,2011,898.5,Trinity County,CA
1130,2012,780,Trinity County,CA
1131,2013,619.5833333,Trinity County,CA
1132,2014,489.4166667,Trinity County,CA
1133,2015,400.0833333,Trinity County,CA
1134,2010,46585.5,Ventura County,CA
1135,2011,44223.41667,Ventura County,CA
1136,2012,39522.66667,Ventura County,CA
1137,2013,34145.25,Ventura County,CA
1138,2014,28651.66667,Ventura County,CA
1139,2015,24197.58333,Ventura County,CA
1140,2010,6976.75,Humboldt County,CA
1141,2011,6877.833333,Humboldt County,CA
1142,2012,6159.333333,Humboldt County,CA
1143,2013,5108.416667,Humboldt County,CA
1144,2014,4159.416667,Humboldt County,CA
1145,2015,3490.25,Humboldt County,CA
1146,2010,22686.66667,Imperial County,CA
1147,2011,22931.75,Imperial County,CA
1148,2012,21679.08333,Imperial County,CA
1149,2013,19600.66667,Imperial County,CA
1150,2014,18847,Imperial County,CA
1151,2015,18811.16667,Imperial County,CA
1152,2010,1127.416667,Mariposa County,CA
1153,2011,1140.916667,Mariposa County,CA
1154,2012,1022.583333,Mariposa County,CA
1155,2013,865.5833333,Mariposa County,CA
1156,2014,712,Mariposa County,CA
1157,2015,573.1666667,Mariposa County,CA
1158,2010,27449,Monterey County,CA
1159,2011,27412.33333,Monterey County,CA
1160,2012,25196.25,Monterey County,CA
1161,2013,22305.16667,Monterey County,CA
1162,2014,19727,Monterey County,CA
1163,2015,17701.25,Monterey County,CA
1164,2010,3302.666667,Siskiyou County,CA
1165,2011,3301.333333,Siskiyou County,CA
1166,2012,2947,Siskiyou County,CA
1167,2013,2404.75,Siskiyou County,CA
1168,2014,2000.416667,Siskiyou County,CA
1169,2015,1678.25,Siskiyou County,CA
1170,2010,3443.916667,Tuolumne County,CA
1171,2011,3284.666667,Tuolumne County,CA
1172,2012,2895.5,Tuolumne County,CA
1173,2013,2343.25,Tuolumne County,CA
1174,2014,1870.916667,Tuolumne County,CA
1175,2015,1520.416667,Tuolumne County,CA
1176,2010,3035.25,Calaveras County,CA
1177,2011,2899,Calaveras County,CA
1178,2012,2495.666667,Calaveras County,CA
1179,2013,2012.333333,Calaveras County,CA
1180,2014,1624.25,Calaveras County,CA
1181,2015,1314.083333,Calaveras County,CA
1182,2010,1442,Del Norte County,CA
1183,2011,1449,Del Norte County,CA
1184,2012,1420.166667,Del Norte County,CA
1185,2013,1222.5,Del Norte County,CA
1186,2014,1002.166667,Del Norte County,CA
1187,2015,843,Del Norte County,CA
1188,2010,11126.58333,El Dorado County,CA
1189,2011,10502.08333,El Dorado County,CA
